name,extinction_year,location,scientific_name
Schwertstör,2022,,Psephurus gladius
Tristrams Specht,2017,,Dryocopus javensis richardsi
Bramble-Cay-Mosaikschwanzratte,2016,Bramble Cay,Melomys rubicola
St.-Helena-Olivenbaum,2016,,Nesiota elliptica
Weihnachtsinsel-Zwergfledermaus,2009,Weihnachtsinsel,Pipistrellus murrayi
Saudi-Gazelle,2008,,Gazella saudiya
Westliches Spitzmaulnashorn,2006,Kamerun,Diceros bicornis longipes
Chinesischer Flussdelfin,2002,China,Lipotes vexillifer
Pernambuco-Zwergkauz,2001,Pernambuco,Glaucidium mooreorum
Pyrenäensteinbock,2000,Spanien,Capra pyrenaica pyrenaica
Säbelantilope,2000,,Oryx dammah
Chihuahua-Wiesenwühlmaus,1998,Ojo Galeana,Microtus pennsylvanicus chihuahuensis
Norfolkinsel-Kuckuckskauz,1996,Norfolkinsel,Ninox novaezelandeae undulata
Annamitisches Pustelschwein,1995,,Sus bucculentus
Sansibar-Leopard,1991,Sansibar,Panthera pardus adersi
Atitlántaucher,1989,,Podilymbus gigas
Maui-Akepakleidervogel,1988,Maui,Loxops ochraceus
Guadalupe-Karakara,1988,,Caracara lutosa
Schwarze Strandammer,1987,Florida,Ammodramus maritimus nigrescens
Schuppenkehlmoho,1987,,Moho braccatus
Aldabrabuschsänger,1986,,Nesillas aldabrana
Japanischer Fischotter,1979,Shikoku,Lutra nippon
Andentaucher,1979,,Podiceps andinus
Miss Waldrons Roter Stummelaffe,1978,Ghana und Elfenbeinküste,Piliocolobus waldronae
Guam-Flughund,1974,Guam,Pteropus tokudae
Japanischer Seelöwe,1974,Takeshima,Zalophus japonicus
Kaspischer Tiger,1972,Iran,Panthera tigris virgata
Cheesman-Lamellenzahnratte,1968,Äthiopien,Otomys cheesmani
Kleiner Kaninchennasenbeutler,1967,Australien,Macrotis leucura
Große Neuseelandfledermaus,1967,Stewart Island,Mystacina robusta
Barbados-Waschbär,1964,Barbados,Procyon lotor gloveralleni
Mexikanischer Grizzlybär,1964,Mexiko,Ursus arctos nelsoni
Tacoma-Taschenratte,1962,Washington,Thomomys mazama tocomensis
Zentralaustralisches Hasenkänguru,1960,Australien,Lagorchestes asomatus
Candango-Maulwurfsmaus,1960,,Juscelinomys candango
Ponce-de-Leon-Küstenmaus,1959,Ponce de Leon,Peromyscus polionotus decoloratus
Mondnagelkänguru,1956,Australien,Onychogalea lunata
Blaugraue Maus,1956,Australien,Pseudomys glaucus
Sherman-Kurzschwanzspitzmaus,1955,Lee County,Blarina shermani
