name,brand,quantity,generic_name,image_url,categories,labels,allergens,nutriscore,nova_group,ecoscore,origins
Salat der Saison Dressing für Feldsalat,,10 g,Soße,,en:condiments|en:sauces|en:salad-dressings|en:groceries,,,,,d,
Kartoffelsalat,,,,,en:meals|en:prepared-salads|en:potato-dishes|en:potato-salads|en:salads,,,,,d,
Creveten,Migros,750g,,,en:meals|en:prepared-salads|en:lentil-dishes|en:lentil-salads|en:salads,en:organic|en:eu-organic|en:ch-bio-006,,a,,,
Salz & Pfeffer-Pistazien,Wonderful,250 g,,https://images.openfoodfacts.org/images/products/001/411/391/1702/12.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:snacks|en:salty-snacks|en:nuts-and-their-products|en:nut-based-snacks|en:flavoured-nuts|en:flavoured-pistachios,en:made-in-germany,en:nuts,e,4,,"United States,California"
Sweet Chili-Pistazien,Wonderful,250g,,https://images.openfoodfacts.org/images/products/001/411/391/2341/21.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:snacks|en:nuts-and-their-products|en:nut-based-snacks|en:flavoured-nuts|en:flavoured-pistachios,,en:nuts,e,4,,"United States,California"
Bo Erbsen,Bofrost,1200g,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:legumes-and-their-products|en:vegetables-based-foods|en:frozen-foods|en:frozen-plant-based-foods|en:frozen-legumes|en:frozen-vegetables|en:frozen-common-beans,,,a,1,,
MaiskolbenDemi épis de maïs. Gemüse Grill,Bofrost,1000g,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:seeds|en:cereals-and-their-products|en:cereal-grains|en:corn-on-the-cob,,,b,,,
Kartoffel Snack mit Steinpilzen & Crème fraîche,Pfanni,47 g,,https://images.openfoodfacts.org/images/products/002/024/212/4913/1.400.jpg,en:dried-products|en:meals|en:dried-products-to-be-rehydrated|en:dried-meals,,en:milk|en:milk,,4,,
Crème de marrons de l'Ardèche,Clement Faugier,500g,Aufstrich,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:spreads|en:nuts-and-their-products|en:plant-based-spreads|en:chestnut-spreads,,en:nuts,d,4,a,"France,Ardèche,Extrait naturel de vanille Madagascar"
Ananas Stücke in Saft,Del Monte,350g,Obst,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:canned-foods|en:desserts|en:canned-plant-based-foods|en:fruits-based-foods|en:fruits|en:canned-fruits|en:tropical-fruits|en:canned-fruits-in-juice|en:canned-pineapples|en:pineapple-in-juice,en:green-dot|en:nutriscore|en:nutriscore-grade-a|de:sustainabky-grown-certified,,a,1,,Kenya
"Ananas Scheiben, In Saft",Sainsbury&#039;s,140 gram,Obst,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:canned-foods|en:canned-plant-based-foods|en:fruits-based-foods|en:fruits|en:canned-fruits|en:tropical-fruits|en:pineapple|en:canned-fruits-in-juice|en:canned-pineapples|en:pineapple-in-juice,,,,1,a,
