category,generic_name
en:yogurts,Joghurt
en:fruit-yogurts,Fruchtjoghurt
en:greek-style-yogurts,Joghurt
en:plain-yogurts,Naturjoghurt
en:cheeses,Käse
en:cream-cheeses,Frischkäse
en:soft-cheeses,Weichkäse
en:hard-cheeses,Hartkäse
en:gouda,Gouda
en:camemberts,Camembert
en:mozzarella,Mozzarella
en:feta,Feta
en:bries,Brie
en:grated-cheese,Reibekäse
en:milks,Milch
en:whole-milks,Vollmilch
en:semi-skimmed-milks,Milch
en:buttermilks,Buttermilch
en:butters,Butter
en:creams,Sahne
en:quarks,Quark
en:sausages,Wurst
en:cured-sausages,Wurst
en:salami,Salami
en:hams,Schinken
en:white-hams,Kochschinken
en:chickens,Hähnchen
en:chicken-breasts,Hähnchenbrust
en:pork,Schweinefleisch
en:beef,Rindfleisch
en:turkeys,Pute
en:fishes,Fisch
en:salmons,Lachs
en:smoked-salmons,Räucherlachs
en:tunas,Thunfisch
en:canned-tunas,Thunfisch
en:herring,Hering
en:sardines,Sardinen
en:shrimps,Garnelen
en:breads,Brot
en:white-breads,Weißbrot
en:wholemeal-breads,Vollkornbrot
en:rye-breads,Roggenbrot
en:bread-rolls,Brötchen
en:pumpernickel,Pumpernickel
en:crispbreads,Knäckebrot
en:croissants,Croissant
en:brioches,Brioche
en:waffles,Waffeln
en:pancakes,Pfannkuchen
en:pretzel,Brezel
en:cakes,Kuchen
en:biscuits,Kekse
en:cookies,Kekse
en:muffins,Muffin
en:pastas,Nudeln
en:spaghetti,Spaghetti
en:penne,Penne
en:ravioli,Ravioli
en:noodles,Nudeln
en:instant-noodles,Instantnudeln
en:rices,Reis
en:mueslis,Müsli
en:flours,Mehl
en:oats,Haferflocken
en:vegetables,Gemüse
en:tomatoes,Tomaten
en:olives,Oliven
en:pickles,Gewürzgurken
en:pickled-cucumbers,Gewürzgurken
en:corn,Mais
en:peas,Erbsen
en:green-beans,Grüne Bohnen
en:fruits,Obst
en:apples,Äpfel
en:bananas,Bananen
en:oranges,Orangen
en:applesauces,Apfelmus
en:jams,Marmelade
en:berry-jams,Beerenmarmelade
en:honeys,Honig
en:mustards,Senf
en:ketchup,Ketchup
en:mayonnaises,Mayonnaise
en:vinegars,Essig
en:sauces,Soße
en:tomato-sauces,Tomatensoße
en:pasta-sauces,Nudelsoße
en:pestos,Pesto
en:hummus,Hummus
en:spreads,Aufstrich
en:chocolate-spreads,Schokocreme
en:hazelnut-spreads,Nusscreme
en:coffees,Kaffee
en:instant-coffees,Instantkaffee
en:teas,Tee
en:herbal-teas,Kräutertee
en:fruit-juices,Saft
en:apple-juices,Apfelsaft
en:orange-juices,Orangensaft
en:waters,Wasser
en:mineral-waters,Mineralwasser
en:beers,Bier
en:wines,Wein
en:red-wines,Rotwein
en:white-wines,Weißwein
en:chocolates,Schokolade
en:milk-chocolates,Vollmilchschokolade
en:dark-chocolates,Zartbitterschokolade
en:white-chocolates,Weiße Schokolade
en:bonbons,Bonbons
en:gummi-candies,Gummibärchen
en:gummy-bears,Gummibärchen
en:marshmallows,Marshmallows
en:caramels,Karamell
en:marzipan,Marzipan
en:nougats,Nougat
en:crisps,Chips
en:potato-crisps,Kartoffelchips
en:nuts,Nüsse
en:peanuts,Erdnüsse
en:popcorn,Popcorn
en:crackers,Cracker
en:pizzas,Pizza
en:frozen-pizzas,Tiefkühlpizza
en:soups,Suppe
en:puddings,Pudding
en:rice-puddings,Milchreis
en:ice-creams,Eis
en:eggs,Eier
en:chicken-eggs,Eier
en:tofu,Tofu
en:sugars,Zucker
en:salts,Salz
en:oils,Öl
en:olive-oils,Olivenöl
en:lentils,Linsen
en:chickpeas,Kichererbsen
