# Categories from openfoodfacts-products.jsonl
# Total products: 373,676
# Products with categories: 161,016
# Unique categories: 17,072
#
# Format: count | category
#============================================================

 56744 | en:plant-based-foods-and-beverages
 49988 | en:plant-based-foods
 31899 | en:beverages-and-beverages-preparations
 31620 | en:beverages
 21544 | en:snacks
 17655 | en:sweet-snacks
 16903 | en:cereals-and-potatoes
 15568 | en:dairies
 12462 | en:condiments
 12459 | en:fruits-and-vegetables-based-foods
 12057 | en:fermented-foods
 11643 | en:fermented-milk-products
 11387 | en:cereals-and-their-products
 10131 | en:meats-and-their-products
  9472 | en:meals
  9176 | en:desserts
  8197 | en:spreads
  7727 | en:sauces
  7409 | en:cheeses
  7267 | en:plant-based-beverages
  7238 | en:vegetables-based-foods
  6891 | en:breakfasts
  6810 | en:confectioneries
  6808 | en:cocoa-and-its-products
  6421 | en:prepared-meats
  6132 | en:meats
  6005 | en:groceries
  5971 | en:biscuits-and-cakes
  5320 | en:frozen-foods
  5222 | en:canned-foods
  4846 | en:fruits-based-foods
  4542 | en:dairy-desserts
  4469 | en:pastas
  4368 | en:alcoholic-beverages
  4334 | en:seeds
  4333 | en:plant-based-spreads
  3944 | en:seafood
  3800 | en:breads
  3738 | en:chocolates
  3690 | en:legumes-and-their-products
  3630 | en:biscuits-and-crackers
  3598 | en:sweet-spreads
  3469 | en:fermented-dairy-desserts
  3376 | en:nuts-and-their-products
  3344 | en:canned-plant-based-foods
  3318 | en:salty-snacks
  3300 | en:fishes-and-their-products
  3240 | en:vegetables
  3197 | en:breakfast-cereals
  3182 | en:fishes
  3166 | en:dried-products
  3123 | en:biscuits
  3103 | en:carbonated-drinks
  3089 | en:fruit-based-beverages
  3004 | en:fats
  2919 | en:yogurts
  2864 | en:chocolate-candies
  2857 | en:fruits
  2748 | en:juices-and-nectars
  2639 | en:appetizers
  2590 | en:legumes
  2568 | en:hot-beverages
  2533 | en:sausages
  2479 | en:dietary-supplements
  2365 | en:beverage-preparations
  2348 | en:nuts
  2343 | en:frozen-desserts
  2335 | en:cereal-grains
  2325 | en:meat-alternatives
  2309 | en:vegetable-fats
  2222 | en:sodas
  2191 | en:ice-creams-and-sorbets
  2188 | en:sweeteners
  2164 | en:canned-vegetables
  2156 | en:dairy-substitutes
  2137 | en:fatty-fishes
  2105 | en:cured-sausages
  2085 | en:spices
  2051 | en:candies
  1986 | en:chips-and-fries
  1978 | en:bars
  1964 | en:fruit-juices
  1935 | en:vegetable-oils
  1923 | en:farming-products
  1911 | en:cow-cheeses
  1893 | en:noodles
  1877 | en:salted-spreads
  1869 | en:ice-creams
  1827 | en:bonbons
  1791 | en:teas
  1762 | en:pickles
  1754 | en:crisps
  1727 | en:meat-analogues
  1700 | en:tomatoes-and-their-products
  1695 | en:dried-plant-based-foods
  1689 | en:pasta-dishes
  1677 | en:plant-based-pickles
  1671 | en:bodybuilding-supplements
  1643 | en:milks
  1642 | en:fruit-and-vegetable-preserves
  1641 | en:milks-liquid-and-powder
  1606 | en:sweetened-beverages
  1600 | en:legume-seeds
  1589 | en:waters
  1579 | en:mueslis
  1551 | en:coffees
  1531 | en:olive-tree-products
  1514 | en:beers
  1490 | en:dried-products-to-be-rehydrated
  1474 | en:pulses
  1418 | en:cakes
  1417 | en:tomato-sauces
  1381 | en:wines
  1345 | en:salami
  1333 | en:meat-preparations
  1330 | en:soups
  1318 | en:milk-substitutes
  1306 | en:jams
  1233 | en:plant-based-milk-alternatives
  1213 | en:prepared-salads
  1206 | en:spring-waters
  1205 | en:pflanzliche-lebensmittel-und-getranke
  1194 | en:fish-fillets
  1189 | en:rices
  1173 | en:poultries
  1170 | en:milk-chocolates
  1164 | en:pizzas-pies-and-quiches
  1159 | en:cream-cheeses
  1151 | en:mineral-waters
  1100 | en:pastries
  1092 | en:bee-products
  1078 | en:chicken-and-its-products
  1070 | en:honeys
  1068 | en:culinary-plants
  1065 | en:fermented-dairy-desserts-with-fruits
  1055 | en:dried-fruits
  1053 | en:flours
  1043 | en:frozen-plant-based-foods
  1035 | en:hams
  1013 | en:herbal-teas
