name,brand,quantity,generic_name,image_url,categories,labels,allergens,nutriscore,nova_group,ecoscore,origins
Hähnchen-Salami mit Putenfleisch & Palmfett,Stockmeyer,100 g,Wurst,,en:meats-and-their-products|en:prepared-meats|en:cured-sausages|en:salami|en:cut|de:geflügelsalami|de:geflügelwurst|de:wurstaufschnitt,en:qs-certification-mark,,e,4,,
Reis-Waffeln,K-Bio,130 g,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:cereals-and-their-products|en:puffed-cereal-cakes|en:puffed-rice-cakes,en:vegetarian|en:no-gluten|en:organic|en:crossed-grain-trademark|en:eu-organic|en:vegan|de:eg-öko-verordnung|en:nl-bio-01,en:sesame-seeds,b,1,b,
Schweizer edelbitter-schokolade,Penny,100,Zartbitterschokolade,https://images.openfoodfacts.org/images/products/24926324/10.400.jpg,en:snacks|en:sweet-snacks|en:cocoa-and-its-products|en:chocolates|en:dark-chocolates,en:fair-trade|en:fairtrade-cocoa,en:soybeans,e,3,e,
Schoko Kuvertüre Zartbitter,K-Classic,1pcs,Zartbitterschokolade,,en:snacks|en:sweet-snacks|en:cocoa-and-its-products|en:chocolates|en:dark-chocolates|en:susser-snack,en:fair-trade|en:german-agricultural-society|en:fairtrade-international|en:gold-medal-of-the-german-agricultural-society|en:2020-gold-medal-of-the-german-agricultural-society|en:fairtrade-cocoa,en:milk,e,,d,
Bio Roggenvollkornbrot,REWE,500g,Brot,https://images.openfoodfacts.org/images/products/01395884/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:breads,en:organic,,,3,,Label
Lätta Extra fit,Lätta,1pcs,Aufstrich,https://images.openfoodfacts.org/images/products/871/920/003/8097/9.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fats|en:spreads|en:plant-based-spreads|en:salted-spreads|en:vegetable-fats|en:spreadable-fats|en:margarines|en:light-margarines,en:made-in-the-eu|en:natural-flavors,en:milk,c,4,c,
Okra in Tomatensauce,Baktat,350 g,,https://images.openfoodfacts.org/images/products/869/080/441/0802/5.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:canned-foods|en:vegetables-based-foods,,,b,4,,
Zuckerstreusel,Edeka,100g,,https://images.openfoodfacts.org/images/products/431/150/135/8665/3.400.jpg,en:bread-coverings|en:cooking-helpers|en:food-decorations|en:pastry-helpers|en:sprinkles|en:multi-coloured-vermicelli,en:german-agricultural-society|en:gold-medal-of-the-german-agricultural-society|en:2017-gold-medal-of-the-german-agricultural-society,en:gluten|en:milk,e,4,,
Sahne nougat,Bergland,150 g,Bonbons,https://images.openfoodfacts.org/images/products/21282546/3.400.jpg,en:snacks|en:sweet-snacks|en:cocoa-and-its-products|en:confectioneries|en:chocolate-candies|en:bonbons|en:chocolate-eggs|en:filled-chocolate-eggs,en:fair-trade|en:fairtrade-international|en:nutriscore|en:nutriscore-grade-e,en:milk|en:nuts,e,4,,
Feiner Frucht-Joghurt Kirsche,Hofgut,150 g,Joghurt,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:desserts|en:dairy-desserts|en:fermented-dairy-desserts|en:yogurts,,en:milk,c,4,b,
Hirten-Salat mit Oliven,Rewe,150 g,Gewürzgurken,https://images.openfoodfacts.org/images/products/433/725/674/0319/2.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:pickles,en:nutriscore|en:nutriscore-grade-d,en:milk,d,4,,
Bauch Speck,Glocken-Beune,300,Schweinefleisch,https://images.openfoodfacts.org/images/products/410/071/025/2112/1.400.jpg,en:meats-and-their-products|en:meats|en:pork-and-its-products|en:pork|en:bacon,en:german-agricultural-society|en:gold-medal-of-the-german-agricultural-society|en:2018-gold-medal-of-the-german-agricultural-society,,e,4,,
Früchtekekse,Pural,320 g,Kekse,https://images.openfoodfacts.org/images/products/318/434/007/2204/1.400.jpg,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits-and-crackers|en:biscuits,en:organic|en:eu-organic|en:non-eu-agriculture|de:eg-öko-verordnung|en:eu-agriculture|en:eu-non-eu-agriculture|en:nl-bio-01|en:no-added-sugar,en:eggs|en:gluten|en:nuts|en:sesame-seeds|en:soybeans|en:gluten|en:nuts,,4,b,
Feigen Soft-Früchte,GutBio,200g,,https://images.openfoodfacts.org/images/products/29098309/3.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:dried-products|en:fruits-based-foods|en:dried-plant-based-foods|en:dried-fruits|en:dried-figs,en:organic|en:eu-organic|de:eg-öko-verordnung|en:fr-bio-01,,d,1,c,
Joghurt mit der Ecke Knusper Original,Müller,150 g,Joghurt,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:desserts|en:dairy-desserts|en:fermented-dairy-desserts|en:yogurts|en:yogurts-with-cereals,en:made-in-germany,en:gluten|en:milk|en:nuts,c,4,b,
Decor Waffelherzen,DeBeukelaer,50 g,Waffeln,https://images.openfoodfacts.org/images/products/400/151/811/0867/2.400.jpg,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:pastries|en:waffles,de:fsc-c100130,en:eggs|en:gluten|en:milk,e,4,c,
Biologisches Natives Olivenöl Extra,Terra Creta,1 l,Olivenöl,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fats|en:vegetable-fats|en:olive-tree-products|en:vegetable-oils|en:olive-oils|en:extra-virgin-olive-oils|en:virgin-olive-oils,en:organic|en:eu-organic|en:kosher|en:gr-bio-03|en:orthodox-union-kosher|de:bio-hellas|de:the-traceable-olive-oil,,b,2,c,Griechenland
Mein Crunchy Mandel-Nuss,Bioland,,Müsli,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:cereals-and-potatoes|en:cereals-and-their-products|en:breakfast-cereals|en:mueslis,en:organic|en:bioland,en:gluten|en:nuts,c,3,b,
Gifflar Zimtschnecken,Pagen,260g,,,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:pastries,,,d,,,
Conchiglioni,Freihofer Gourmet,,Nudeln,https://images.openfoodfacts.org/images/products/29019380/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:cereals-and-their-products|en:pastas|en:noodles,,,,,,
Coleslaw Salat mit Karotten,Kühlmann,400 g,,https://images.openfoodfacts.org/images/products/405/100/903/4998/1.400.jpg,en:snacks|en:salty-snacks|en:appetizers|en:meals|en:prepared-salads|en:coleslaw,en:vegetarian|en:vegan|en:european-vegetarian-union|en:european-vegetarian-union-vegan,,c,,a,
Streichcreme Paprika Chili,Alnatura,180 g,Aufstrich,https://images.openfoodfacts.org/images/products/410/170/203/8080/1.400.jpg,en:spreads|en:salted-spreads|de:aufstrich,en:organic|en:vegetarian|en:eu-organic|en:non-eu-agriculture|en:vegan|en:de-oko-001|en:eu-agriculture|en:eu-non-eu-agriculture|en:the-vegan-society,,d,3,,
"Pistazien, ungesalzen",,,Nüsse,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:nuts-and-their-products|en:nuts|en:pistachios,en:vegetarian|en:vegan|en:european-vegetarian-union|en:european-vegetarian-union-vegan|en:nutriscore,,,,e,
Gemüse Wrap mit Hackfleisch,Maggi,1pcs,Brot,https://images.openfoodfacts.org/images/products/761/303/567/7647/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:breads|en:flatbreads,,,e,,,
Jarlsberg,Meine Käserei,119 g,Käse,https://images.openfoodfacts.org/images/products/281/235/000/1198/2.400.jpg,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|de:jarlsberg,,en:milk,d,3,d,
Mandel Pralinen,Château,200 g,Bonbons,https://images.openfoodfacts.org/images/products/406/145/804/0402/11.400.jpg,en:snacks|en:sweet-snacks|en:cocoa-and-its-products|en:confectioneries|en:chocolate-candies|en:bonbons|en:chocolate-covered-nuts-and-fruits|en:chocolate-covered-nuts|en:chocolate-coated-almonds,en:sustainable-farming|en:green-dot|en:rainforest-alliance|en:utz-certified|en:utz-certified-cocoa,en:milk|en:nuts|en:soybeans|de:sojal,e,4,c,
Fränkischer Grünkern,DmBio,500g,,https://images.openfoodfacts.org/images/products/406/644/708/7628/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:seeds|en:cereals-and-their-products|en:cereal-grains|en:wheats|en:spelts|de:grünkern,en:organic|en:vegetarian|en:eu-organic|en:vegan|de:eg-öko-verordnung|en:de-oko-001|en:eu-agriculture|en:european-vegetarian-union|en:european-vegetarian-union-vegan|en:made-in-germany|de:dm-markenqualität,en:gluten|en:gluten|de:weizenart,b,1,,"Franken,Deutschland"
Schafskäse leicht,Omiros,150 g,Käse,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|en:sheep-s-milk-cheeses,en:vegetarian|en:no-gmos|de:ohne-gentechnik,en:milk,d,3,c,Griechenland
Dinkel Dralli,Recheis,350g,Nudeln,https://images.openfoodfacts.org/images/products/900/045/203/1165/3.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:cereals-and-their-products|en:pastas|en:noodles,,en:eggs|en:gluten,a,1,,
Früchte Hafer-Müsli,LIDL,750g,Müsli,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:cereals-and-potatoes|en:cereals-and-their-products|en:breakfast-cereals|en:cereals-with-fruits|en:mueslis|en:mueslis-with-fruits,en:fsc|en:fsc-mix|en:nutriscore|en:nutriscore-grade-a,en:gluten|en:nuts,c,3,b,
Tortilla Röllchen,Bio Zentrale,125g,Chips,https://images.openfoodfacts.org/images/products/400/500/910/4625/10.400.jpg,en:snacks|en:salty-snacks|en:appetizers|en:chips-and-fries|en:meals|en:crisps|en:corn-chips,en:no-gluten|en:organic|en:eu-organic|de:eg-öko-verordnung,,d,3,a,
Jeden Tag Pflanzencreme,Jeden Tag,500 ml,,https://images.openfoodfacts.org/images/products/430/618/801/0005/4.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fats|en:vegetable-fats|de:pflanzencreme,,,c,4,,
Kartoffelsalat mit Essig- und Öl-Dressing,Aldi,1000 g,,https://images.openfoodfacts.org/images/products/406/145/801/8579/7.400.jpg,en:meals|en:prepared-salads|en:potato-dishes|en:potato-salads|de:kartoffelsalat,en:german-agricultural-society|en:vegetarian|en:gold-medal-of-the-german-agricultural-society|en:vegan|en:2021-gold-medal-of-the-german-agricultural-society|en:european-vegetarian-union|en:european-vegetarian-union-vegan,en:gluten|en:mustard,c,4,d,
Knorr Goldaugen,Knorr,130g,Suppe,,en:dried-products|en:meals|en:dried-products-to-be-rehydrated|en:soups|en:dried-meals|en:dehydrated-soups,,en:gluten|en:soybeans,,4,,
Götterspeise Waldmeister Geschmack,Dr. Oetker,"23,4 g",,https://images.openfoodfacts.org/images/products/400/058/334/5303/3.400.jpg,en:desserts|en:cooking-helpers|en:dessert-mixes|en:jelly-desserts|en:mixes-for-jelly-desserts,,,c,4,,
Amaranth Schokolette Zartbitter,Allos,140 g,,https://images.openfoodfacts.org/images/products/401/624/952/7303/4.400.jpg,en:snacks|en:sweet-snacks|en:bars|en:cereal-bars,en:organic|en:eu-organic|de:eg-öko-verordnung|en:fsc|en:fsc-mix|en:green-dot|en:made-in-germany,en:gluten,e,3,,
Vollwert-Brot,Mestemacher,500 g,Vollkornbrot,https://images.openfoodfacts.org/images/products/400/044/600/1513/1.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:breads|en:wholemeal-breads,en:organic|en:eu-organic|en:de-oko-001|en:green-dot|en:nutriscore|en:nutriscore-grade-a,en:gluten,a,3,,
Hühner Nudeltopf,Edeka,800 g,Suppe,https://images.openfoodfacts.org/images/products/431/150/134/8406/1.400.jpg,en:canned-foods|en:meals|en:soups|en:canned-meals,,en:celery|en:eggs|en:gluten|en:milk|en:mustard,c,4,,
Schoko-Nuss,Alnatura,250 g,Nusscreme,https://images.openfoodfacts.org/images/products/410/442/017/7963/15.400.jpg,en:breakfasts|en:spreads|en:sweet-spreads|fr:pates-a-tartiner|en:hazelnut-spreads|en:chocolate-spreads|en:cocoa-and-hazelnuts-spreads|de:schoko-nussaufstrich,en:organic|en:eu-organic|de:bio-7-initiative|de:eg-öko-verordnung|en:de-oko-006|de:bio-label-german,en:lupin|en:milk|en:nuts|en:sesame-seeds,e,3,c,
Paprika süss,Coop,,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:condiments|en:spices|en:paprika,,,,,,
Sprühfertige Schlagcreme,Schlagfix,200ml,Sahne,,en:plant-based-foods-and-beverages|en:dairies|en:plant-based-foods|en:creams|en:plant-based-creams|en:pressurized-whipped-cream-substitutes|en:whipped-creams,en:sustainable|en:no-gluten|en:vegetarian|en:halal|en:kosher|en:sustainable-palm-oil|en:vegan|en:european-vegetarian-union|en:european-vegetarian-union-vegan|en:kosher-parve|en:no-lactose|en:no-soy|en:roundtable-on-sustainable-palm-oil,,d,4,a,Deutschland
